
;NB_triplets
Nb triplets;109234

;NB_o
Nb "o";26922

;NB_s
Nb "s";18597

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q495929";49
Distribution of linked "o";"Q693951";49
Distribution of linked "o";"Q815515";49
Distribution of linked "o";"Q2819143";48
Distribution of linked "o";"Q483856";48
Distribution of linked "o";"Q847587";48
Distribution of linked "o";"Q268776";48
Distribution of linked "o";"Q142005";48
Distribution of linked "o";"Q2037";48
Distribution of linked "o";"Q1202764";48
Distribution of linked "o";"Q131603";48
Distribution of linked "o";"Q482540";48
Distribution of linked "o";"Q730809";47
Distribution of linked "o";"Q203573";47
Distribution of linked "o";"Q151747";47
Distribution of linked "o";"Q170105";47
Distribution of linked "o";"Q268208";47
Distribution of linked "o";"Q877411";46
Distribution of linked "o";"Q19607";46
Distribution of linked "o";"Q19498";46
Distribution of linked "o";"Q3589828";46
Distribution of linked "o";"Q3589884";46
Distribution of linked "o";"Q2255267";46
Distribution of linked "o";"Q4122219";45
Distribution of linked "o";"Q19578";45
Distribution of linked "o";"19530101";45
Distribution of linked "o";"19630101";45
Distribution of linked "o";"Q8749";45
Distribution of linked "o";"Q48951";45
Distribution of linked "o";"Q8723";45
Distribution of linked "o";"Q80958";45
Distribution of linked "o";"Q19568";45
Distribution of linked "o";"Q19462";45
Distribution of linked "o";"Q208406";45
Distribution of linked "o";"Q161554";44
Distribution of linked "o";"Q737049";44
Distribution of linked "o";"Q15224541";44
Distribution of linked "o";"Q22866";44
Distribution of linked "o";"Q1501893";44
Distribution of linked "o";"Q184387";44
Distribution of linked "o";"19620101";43
Distribution of linked "o";"19510101";43
Distribution of linked "o";"19490101";43
Distribution of linked "o";"Q134241";43
Distribution of linked "o";"Q2306719";43
Distribution of linked "o";"Q641373";43
Distribution of linked "o";"Q855809";43
Distribution of linked "o";"Q855401";43
Distribution of linked "o";"Q738917";43
Distribution of linked "o";"Q3446766";43
Distribution of linked "o";"Q603271";43
Distribution of linked "o";"Q19601";42
Distribution of linked "o";"Q849179";42
Distribution of linked "o";"Q131215";42
Distribution of linked "o";"Q5113698";42
Distribution of linked "o";"Q154408";42
Distribution of linked "o";"Q1202762";42
Distribution of linked "o";"Q6463";42
Distribution of linked "o";"Q208584";42
Distribution of linked "o";"Q575370";42
Distribution of linked "o";"Q223262";42
Distribution of linked "o";"Q7232579";41
Distribution of linked "o";"Q19470";41
Distribution of linked "o";"Q19580";41
Distribution of linked "o";"Q1156317";41
Distribution of linked "o";"Q845859";41
Distribution of linked "o";"Q182072";41
Distribution of linked "o";"19410101";41
Distribution of linked "o";"Q822021";40
Distribution of linked "o";"19550101";40
Distribution of linked "o";"19680101";40
Distribution of linked "o";"19670101";40
Distribution of linked "o";"Q646135";40
Distribution of linked "o";"Q321061";40
Distribution of linked "o";"19600101";40
Distribution of linked "o";"Q3589895";40
Distribution of linked "o";"Q692586";40
Distribution of linked "o";"Q162450";40
Distribution of linked "o";"Q154053";40
Distribution of linked "o";"Q162251";40
Distribution of linked "o";"Q19353";40
Distribution of linked "o";"19690101";40
Distribution of linked "o";"Q8857";40
Distribution of linked "o";"Q19603";40
Distribution of linked "o";"Q186785";40
Distribution of linked "o";"Q3590615";39
Distribution of linked "o";"Q3873527";39
Distribution of linked "o";"Q849823";39
Distribution of linked "o";"Q218883";39
Distribution of linked "o";"Q302954";39
Distribution of linked "o";"Q105861";39
Distribution of linked "o";"19640101";39
Distribution of linked "o";"19460101";39
Distribution of linked "o";"Q385222";39
Distribution of linked "o";"Q1570132";39
Distribution of linked "o";"Q3589775";39
Distribution of linked "o";"Q186268";39
Distribution of linked "o";"Q2341011";39
Distribution of linked "o";"Q129673";39
Distribution of linked "o";"Q838534";39
Distribution of linked "o";"19590101";38
Distribution of linked "o";"Q6641";38
Distribution of linked "o";"19420101";38
Distribution of linked "o";"Q10300";38
Distribution of linked "o";"Q221882";38
Distribution of linked "o";"Q10383";38
Distribution of linked "o";"Q769512";38
Distribution of linked "o";"Q3063059";38
Distribution of linked "o";"Q608122";38
Distribution of linked "o";"Q208396";38
Distribution of linked "o";"Q164089";38
Distribution of linked "o";"Q694464";38
Distribution of linked "o";"Q181216";38
Distribution of linked "o";"Q3590274";38
Distribution of linked "o";"Q3873545";38
Distribution of linked "o";"Q1023185";38
Distribution of linked "o";"Q1969256";38
Distribution of linked "o";"Q338285";38
Distribution of linked "o";"Q2868235";38
Distribution of linked "o";"Q2442864";38
Distribution of linked "o";"Q19473";37
Distribution of linked "o";"Q4127955";37
Distribution of linked "o";"Q7855039";37
Distribution of linked "o";"Q160530";37
Distribution of linked "o";"Q188656";37
Distribution of linked "o";"Q8823";37
Distribution of linked "o";"Q206838";37
Distribution of linked "o";"19360101";37
Distribution of linked "o";"Q639560";37
Distribution of linked "o";"Q172221";37
Distribution of linked "o";"Q101959";36
Distribution of linked "o";"19500101";36
Distribution of linked "o";"Q48879";36
Distribution of linked "o";"19760101";36
Distribution of linked "o";"Q172567";36
Distribution of linked "o";"Q330148";36
Distribution of linked "o";"Q2661022";36
Distribution of linked "o";"19470101";36
Distribution of linked "o";"19300101";36
Distribution of linked "o";"Q9164911";36
Distribution of linked "o";"Q157352";36
Distribution of linked "o";"Q134925";36
Distribution of linked "o";"Q137499";36
Distribution of linked "o";"Q3963603";36
Distribution of linked "o";"Q459929";36
Distribution of linked "o";"Q208635";36
Distribution of linked "o";"Q163547";36
Distribution of linked "o";"Q3590639";36
Distribution of linked "o";"Q17228";35
Distribution of linked "o";"Q8835";35
Distribution of linked "o";"Q180305";35
Distribution of linked "o";"Q200321";35
Distribution of linked "o";"Q270051";35
Distribution of linked "o";"Q476880";35
Distribution of linked "o";"19750101";35
Distribution of linked "o";"Q2736263";35
Distribution of linked "o";"Q2255212";35
Distribution of linked "o";"Q1270129";35
Distribution of linked "o";"Q165141";35
Distribution of linked "o";"Q180845";35
Distribution of linked "o";"Q297906";35
Distribution of linked "o";"Q910453";35
Distribution of linked "o";"Q3590754";34
Distribution of linked "o";"Q7855167";34
Distribution of linked "o";"Q18662";34
Distribution of linked "o";"Q75729";34
Distribution of linked "o";"Q244874";34
Distribution of linked "o";"Q6630";34
Distribution of linked "o";"19540101";34
Distribution of linked "o";"Q352270";34
Distribution of linked "o";"Q1780231";34
Distribution of linked "o";"Q696474";34
Distribution of linked "o";"Q172803";34
Distribution of linked "o";"Q383196";34
Distribution of linked "o";"Q335195";34
Distribution of linked "o";"Q738423";34
Distribution of linked "o";"Q10319";33
Distribution of linked "o";"Q2674";33
Distribution of linked "o";"Q17497";33
Distribution of linked "o";"Q732002";33
Distribution of linked "o";"Q216523";33
Distribution of linked "o";"Q1062259";33
Distribution of linked "o";"Q204237";33
Distribution of linked "o";"Q610621";33
Distribution of linked "o";"Q172969";33
Distribution of linked "o";"Q18721";33
Distribution of linked "o";"19560101";33
Distribution of linked "o";"Q186262";33
Distribution of linked "o";"Q1199965";33
Distribution of linked "o";"Q2093314";33
Distribution of linked "o";"Q12297";33
Distribution of linked "o";"Q2402747";33
Distribution of linked "o";"Q164134";33
Distribution of linked "o";"Q221525";32
Distribution of linked "o";"Q170040";32
Distribution of linked "o";"19660101";32
Distribution of linked "o";"Q248188";32
Distribution of linked "o";"Q612017";32
Distribution of linked "o";"Q19573";32
Distribution of linked "o";"Q3241303";32
Distribution of linked "o";"19280101";32
Distribution of linked "o";"Q10333";32
Distribution of linked "o";"Q1886";32
Distribution of linked "o";"Q8639";32
Distribution of linked "o";"Q8780";32
Distribution of linked "o";"Q19487";32
Distribution of linked "o";"19400101";32
