
;NB_triplets
Nb triplets;194420

;NB_o
Nb "o";31538

;NB_s
Nb "s";22890

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q3446766";80
Distribution of linked "o";"Q1770361";80
Distribution of linked "o";"Q19470";78
Distribution of linked "o";"Q2331232";78
Distribution of linked "o";"Q107421";78
Distribution of linked "o";"Q304146";78
Distribution of linked "o";"Q2255212";78
Distribution of linked "o";"Q186268";78
Distribution of linked "o";"Q2341011";78
Distribution of linked "o";"Q1322550";78
Distribution of linked "o";"Q138749";78
Distribution of linked "o";"Q176371";78
Distribution of linked "o";"Q1323373";78
Distribution of linked "o";"Q2347256";76
Distribution of linked "o";"Q101959";76
Distribution of linked "o";"Q19473";76
Distribution of linked "o";"Q201584";76
Distribution of linked "o";"Q141882";76
Distribution of linked "o";"Q2533263";76
Distribution of linked "o";"Q105861";76
Distribution of linked "o";"Q51974";76
Distribution of linked "o";"Q238593";76
Distribution of linked "o";"Q218282";76
Distribution of linked "o";"Q1023185";76
Distribution of linked "o";"Q29108";76
Distribution of linked "o";"Q18526";76
Distribution of linked "o";"Q301431";76
Distribution of linked "o";"Q2868235";76
Distribution of linked "o";"Q3873500";76
Distribution of linked "o";"Q11979";74
Distribution of linked "o";"Q10300";74
Distribution of linked "o";"Q287129";74
Distribution of linked "o";"Q321061";74
Distribution of linked "o";"Q206692";74
Distribution of linked "o";"Q1062259";74
Distribution of linked "o";"Q385222";74
Distribution of linked "o";"Q211401";74
Distribution of linked "o";"Q614987";74
Distribution of linked "o";"Q2402747";74
Distribution of linked "o";"Q155730";72
Distribution of linked "o";"Q6664";72
Distribution of linked "o";"19440101";72
Distribution of linked "o";"Q188656";72
Distribution of linked "o";"Q170117";72
Distribution of linked "o";"Q2627402";72
Distribution of linked "o";"Q823384";72
Distribution of linked "o";"Q142005";72
Distribution of linked "o";"Q191264";72
Distribution of linked "o";"Q2037";72
Distribution of linked "o";"Q201567";72
Distribution of linked "o";"Q460494";72
