
;NB_triplets
Nb triplets;48751

;NB_o
Nb "o";22185

;NB_s
Nb "s";14637

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q483856";16
Distribution of linked "o";"19520101";16
Distribution of linked "o";"Q626917";16
Distribution of linked "o";"Q10383";16
Distribution of linked "o";"19400101";16
Distribution of linked "o";"Q189275";16
Distribution of linked "o";"Q2533263";16
Distribution of linked "o";"Q390230";16
Distribution of linked "o";"Q162317";16
Distribution of linked "o";"Q3589896";16
Distribution of linked "o";"19720101";16
Distribution of linked "o";"Q1201992";16
Distribution of linked "o";"19560101";16
Distribution of linked "o";"Q726080";16
Distribution of linked "o";"Q162364";16
Distribution of linked "o";"Q160826";16
Distribution of linked "o";"Q131603";16
Distribution of linked "o";"Q19603";16
Distribution of linked "o";"Q1463828";16
Distribution of linked "o";"Q5423714";16
Distribution of linked "o";"Q686826";16
Distribution of linked "o";"Q163547";16
Distribution of linked "o";"Q3590639";16
Distribution of linked "o";"Q186268";16
Distribution of linked "o";"Q844238";16
Distribution of linked "o";"Q757098";16
Distribution of linked "o";"Q428211";15
Distribution of linked "o";"19390101";15
Distribution of linked "o";"19580101";15
Distribution of linked "o";"Q48879";15
Distribution of linked "o";"Q19580";15
Distribution of linked "o";"Q3590615";15
Distribution of linked "o";"Q612017";15
Distribution of linked "o";"19280101";15
Distribution of linked "o";"18890101";15
Distribution of linked "o";"19090101";15
Distribution of linked "o";"19370101";15
Distribution of linked "o";"Q180305";15
Distribution of linked "o";"Q8723";15
Distribution of linked "o";"Q19651";15
Distribution of linked "o";"18900101";15
Distribution of linked "o";"Q4825450";15
Distribution of linked "o";"Q586787";15
Distribution of linked "o";"Q211177";15
Distribution of linked "o";"Q5985726";15
Distribution of linked "o";"Q204237";15
Distribution of linked "o";"Q157352";15
Distribution of linked "o";"Q134925";15
Distribution of linked "o";"Q15224541";15
Distribution of linked "o";"18790101";15
Distribution of linked "o";"Q566219";15
Distribution of linked "o";"Q1570132";15
Distribution of linked "o";"Q345142";15
Distribution of linked "o";"Q335195";15
Distribution of linked "o";"Q208584";15
Distribution of linked "o";"Q210530";15
Distribution of linked "o";"Q870291";15
Distribution of linked "o";"Q385074";15
Distribution of linked "o";"Q1683280";15
Distribution of linked "o";"Q931971";15
Distribution of linked "o";"Q1512943";15
Distribution of linked "o";"Q19513";14
Distribution of linked "o";"Q3590754";14
Distribution of linked "o";"19380101";14
Distribution of linked "o";"Q3568145";14
Distribution of linked "o";"Q19449";14
Distribution of linked "o";"19740101";14
Distribution of linked "o";"Q172567";14
Distribution of linked "o";"Q80845";14
Distribution of linked "o";"Q19516";14
Distribution of linked "o";"Q10319";14
Distribution of linked "o";"Q503317";14
Distribution of linked "o";"Q8687";14
Distribution of linked "o";"Q24711";14
Distribution of linked "o";"Q853053";14
Distribution of linked "o";"Q2306719";14
Distribution of linked "o";"Q239447";14
Distribution of linked "o";"Q216523";14
