
;NB_triplets
Nb triplets;48044

;NB_o
Nb "o";10904

;NB_s
Nb "s";6332

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q385222";18
Distribution of linked "o";"Q726080";18
Distribution of linked "o";"Q1585149";18
Distribution of linked "o";"Q13361030";18
Distribution of linked "o";"Q3873525";18
Distribution of linked "o";"Q3446766";18
Distribution of linked "o";"Q684205";18
Distribution of linked "o";"Q4122219";18
Distribution of linked "o";"Q16845355";18
Distribution of linked "o";"Q18527";18
Distribution of linked "o";"Q19453";18
Distribution of linked "o";"Q490586";18
Distribution of linked "o";"Q15799";18
Distribution of linked "o";"Q11979";18
Distribution of linked "o";"Q3590479";18
Distribution of linked "o";"Q12308";18
Distribution of linked "o";"Q19592";18
Distribution of linked "o";"Q8476";18
Distribution of linked "o";"Q139399";18
Distribution of linked "o";"Q318698";18
Distribution of linked "o";"Q476880";18
Distribution of linked "o";"Q2735059";18
Distribution of linked "o";"Q5132136";18
Distribution of linked "o";"Q2306719";18
Distribution of linked "o";"Q196107";18
Distribution of linked "o";"Q9306853";18
Distribution of linked "o";"Q218334";18
Distribution of linked "o";"Q4825450";18
Distribution of linked "o";"Q6630";16
Distribution of linked "o";"19590101";16
Distribution of linked "o";"19470101";16
Distribution of linked "o";"Q2631312";16
Distribution of linked "o";"Q8749";16
Distribution of linked "o";"Q128446";16
Distribution of linked "o";"Q696514";16
Distribution of linked "o";"Q430190";16
Distribution of linked "o";"Q192376";16
Distribution of linked "o";"Q1426344";16
Distribution of linked "o";"Q390326";16
Distribution of linked "o";"Q19651";16
Distribution of linked "o";"Q3589895";16
Distribution of linked "o";"19670101";16
Distribution of linked "o";"Q608122";16
Distribution of linked "o";"Q994701";16
Distribution of linked "o";"Q289339";16
Distribution of linked "o";"Q1082290";16
Distribution of linked "o";"Q162417";16
Distribution of linked "o";"Q1202757";16
Distribution of linked "o";"Q6641";16
Distribution of linked "o";"Q81888";16
Distribution of linked "o";"19420101";16
Distribution of linked "o";"Q157464";16
Distribution of linked "o";"Q701290";16
Distribution of linked "o";"Q162251";16
Distribution of linked "o";"Q216032";16
Distribution of linked "o";"Q18661";16
Distribution of linked "o";"Q386139";16
Distribution of linked "o";"Q244317";16
Distribution of linked "o";"Q126301";16
Distribution of linked "o";"Q748725";16
Distribution of linked "o";"Q19495";16
Distribution of linked "o";"Q1270129";16
Distribution of linked "o";"Q3589940";16
Distribution of linked "o";"Q170107";16
Distribution of linked "o";"Q3924852";16
Distribution of linked "o";"Q428211";16
Distribution of linked "o";"Q725367";16
Distribution of linked "o";"Q206828";16
Distribution of linked "o";"Q204357";16
Distribution of linked "o";"Q18516";16
Distribution of linked "o";"Q19467";16
Distribution of linked "o";"Q210961";16
Distribution of linked "o";"Q3632340";16
Distribution of linked "o";"Q193377";16
Distribution of linked "o";"Q814738";16
Distribution of linked "o";"Q1584552";16
Distribution of linked "o";"Q48951";16
Distribution of linked "o";"Q8408";16
Distribution of linked "o";"Q289656";16
Distribution of linked "o";"Q285722";16
Distribution of linked "o";"Q1387584";16
Distribution of linked "o";"Q2713901";16
Distribution of linked "o";"Q211733";16
Distribution of linked "o";"Q191843";16
Distribution of linked "o";"Q308683";16
Distribution of linked "o";"Q3589826";16
Distribution of linked "o";"Q18747";16
Distribution of linked "o";"Q1806057";16
Distribution of linked "o";"Q172020";16
Distribution of linked "o";"Q2479641";16
Distribution of linked "o";"Q16256009";16
Distribution of linked "o";"Q223566";16
Distribution of linked "o";"Q738846";16
Distribution of linked "o";"Q44270";16
Distribution of linked "o";"Q1785447";16
Distribution of linked "o";"Q9213751";16
Distribution of linked "o";"19550101";14
Distribution of linked "o";"Q107421";14
Distribution of linked "o";"Q1026324";14
Distribution of linked "o";"Q602987";14
Distribution of linked "o";"Q459090";14
Distribution of linked "o";"Q29112";14
Distribution of linked "o";"Q585958";14
Distribution of linked "o";"Q157352";14
Distribution of linked "o";"Q1024463";14
Distribution of linked "o";"Q15972883";14
Distribution of linked "o";"Q19451";14
Distribution of linked "o";"Q134925";14
Distribution of linked "o";"Q944169";14
Distribution of linked "o";"19180101";14
Distribution of linked "o";"Q162317";14
Distribution of linked "o";"Q1857064";14
Distribution of linked "o";"Q8639";14
Distribution of linked "o";"Q248188";14
Distribution of linked "o";"Q4965058";14
Distribution of linked "o";"Q3590367";14
Distribution of linked "o";"Q2664238";14
Distribution of linked "o";"Q849166";14
Distribution of linked "o";"Q497637";14
