
;NB_triplets
Nb triplets;147611

;NB_o
Nb "o";41330

;NB_s
Nb "s";31610

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;94482
Distribution of linked "o";"Q207441";60
Distribution of linked "o";"Q105861";60
Distribution of linked "o";"Q204220";60
Distribution of linked "o";"Q1676641";60
Distribution of linked "o";"Q24699";59
Distribution of linked "o";"Q172803";59
Distribution of linked "o";"Q2462207";59
Distribution of linked "o";"Q161554";59
Distribution of linked "o";"Q48879";59
Distribution of linked "o";"Q202093";59
Distribution of linked "o";"Q730809";59
Distribution of linked "o";"Q994701";59
Distribution of linked "o";"Q621824";59
Distribution of linked "o";"Q204204";59
Distribution of linked "o";"Q844931";58
Distribution of linked "o";"Q186268";58
Distribution of linked "o";"Q196107";58
Distribution of linked "o";"Q3873500";58
Distribution of linked "o";"Q1195647";58
Distribution of linked "o";"Q297906";58
Distribution of linked "o";"Q6502565";58
Distribution of linked "o";"Q279043";58
Distribution of linked "o";"Q855401";57
Distribution of linked "o";"Q6703";57
Distribution of linked "o";"Q172025";57
Distribution of linked "o";"Q19473";57
Distribution of linked "o";"Q272712";57
Distribution of linked "o";"Q19612";57
Distribution of linked "o";"Q501245";57
Distribution of linked "o";"Q926438";57
Distribution of linked "o";"Q219120";56
Distribution of linked "o";"Q274778";56
Distribution of linked "o";"Q73965";56
Distribution of linked "o";"Q218282";56
Distribution of linked "o";"Q425599";56
Distribution of linked "o";"Q191843";56
Distribution of linked "o";"Q3873502";56
Distribution of linked "o";"Q10308";56
Distribution of linked "o";"Q4127955";56
Distribution of linked "o";"Q8806";55
Distribution of linked "o";"Q3590572";55
Distribution of linked "o";"Q244595";55
Distribution of linked "o";"Q212564";55
Distribution of linked "o";"Q680770";55
Distribution of linked "o";"Q29390";55
Distribution of linked "o";"Q183468";55
Distribution of linked "o";"Q308683";55
Distribution of linked "o";"Q332605";55
Distribution of linked "o";"Q643107";55
Distribution of linked "o";"Q189275";55
Distribution of linked "o";"Q201006";55
Distribution of linked "o";"Q331650";55
Distribution of linked "o";"Q854932";54
Distribution of linked "o";"Q877411";54
Distribution of linked "o";"Q184602";54
Distribution of linked "o";"Q191595";54
Distribution of linked "o";"Q155218";54
Distribution of linked "o";"Q5187078";54
Distribution of linked "o";"Q19442";54
Distribution of linked "o";"Q200321";54
Distribution of linked "o";"Q11979";54
Distribution of linked "o";"Q19482";54
Distribution of linked "o";"Q646135";54
Distribution of linked "o";"Q608122";54
Distribution of linked "o";"Q492826";54
Distribution of linked "o";"Q182930";54
Distribution of linked "o";"Q19589";54
Distribution of linked "o";"Q15755";54
Distribution of linked "o";"Q872702";53
Distribution of linked "o";"Q2674";53
Distribution of linked "o";"Q8639";53
Distribution of linked "o";"Q141931";53
Distribution of linked "o";"Q430107";53
Distribution of linked "o";"Q3590274";53
Distribution of linked "o";"Q12217";53
Distribution of linked "o";"Q822021";53
Distribution of linked "o";"Q2756";53
Distribution of linked "o";"Q1370310";53
Distribution of linked "o";"Q301431";53
Distribution of linked "o";"Q1775265";53
Distribution of linked "o";"Q170040";52
Distribution of linked "o";"Q265570";52
Distribution of linked "o";"Q24904";52
Distribution of linked "o";"Q6664";52
Distribution of linked "o";"Q1322550";52
Distribution of linked "o";"Q650273";52
Distribution of linked "o";"Q187326";52
Distribution of linked "o";"Q186262";52
Distribution of linked "o";"Q335483";52
Distribution of linked "o";"Q19512";52
Distribution of linked "o";"Q460724";52
Distribution of linked "o";"Q289482";52
Distribution of linked "o";"Q1683280";51
Distribution of linked "o";"Q19571";51
Distribution of linked "o";"Q2255212";51
Distribution of linked "o";"Q332642";51
Distribution of linked "o";"Q24719";51
Distribution of linked "o";"Q646596";51
Distribution of linked "o";"Q181903";51
Distribution of linked "o";"Q201969";51
Distribution of linked "o";"Q1202771";51
Distribution of linked "o";"Q318969";51
Distribution of linked "o";"Q218883";50
Distribution of linked "o";"Q188656";50
Distribution of linked "o";"Q142005";50
Distribution of linked "o";"Q189198";50
Distribution of linked "o";"Q19487";50
Distribution of linked "o";"Q2347256";50
Distribution of linked "o";"Q311268";50
Distribution of linked "o";"Q503321";50
Distribution of linked "o";"Q3873499";50
Distribution of linked "o";"Q849823";50
Distribution of linked "o";"Q910453";49
Distribution of linked "o";"Q19598";49
Distribution of linked "o";"01000101";49
